nombre de noeuds,nombre d'aretes,degre moyen,degre minimal,degre maximal,distance moyenne,dynamique de propagation,proportion propagation,nombre de honeypots,nombre de smart honeypots,probabilite I -> S,probabilite S -> R,degre du noeud source,nombre inf 5,nombre res 5,epidemic peak,time to extinction
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,9,2,0.19853544581013938,0.01336041413600961,6,7,7,71,320
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,14,1,0.24780775797545088,0.03356166842938668,8,11,10,54,85
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,1,0,0.04566848060715129,0.08550895107578725,4,11,26,35,260
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,2,0,0.1789111369072358,0.07393148226338833,5,7,20,31,111
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,3,0,0.19253416346169314,0.02777747460827534,4,11,3,71,195
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,7,1,0.13785766779082817,0.02908325780207256,6,12,7,67,240
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,4,0,0.16845128884507085,0.013710269781083972,5,7,1,77,476
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,8,1,0.2676480146825629,0.08707605225092835,6,6,16,37,36
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,5,2,0.08475280261576972,0.010728051279422696,4,9,4,79,872
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,16,3,0.14742230636457596,0.048774843384395326,7,7,16,44,63
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,10,1,0.12413650033408405,0.09081046553023789,5,4,21,20,54
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,9,3,0.16384285637798227,0.06485199758829654,5,7,19,42,68
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,1,0,0.13527552175991844,0.01385744808246727,5,15,3,74,1025
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,17,4,0.051021554574355935,0.050750700394726685,8,7,16,35,65
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,4,2,0.03154766652707273,0.03404736960804882,5,11,9,71,890
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,16,1,0.019067627317297435,0.02252085462146332,5,11,8,72,912
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,3,0,0.2621917246483808,0.09479802310331926,6,2,27,8,22
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,3,1,0.040550048438992486,0.06563726275180809,4,8,20,47,517
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,13,1,0.1909370608065138,0.011542076337744352,5,8,8,76,299
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,18,5,0.2681356444258152,0.008818685889769109,6,4,2,75,232
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,6,1,0.08621179459615816,0.022760852269166822,6,9,4,72,400
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,6,0,0.10164061036630148,0.04429189001246139,4,6,14,49,138
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,2,0,0.05312032618174924,0.049164930702558916,4,14,17,62,417
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,11,2,0.26696473491676714,0.03858986979149264,6,12,11,65,80
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,2,1,0.09301898999273925,0.02632921813096566,4,16,8,72,364
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,16,8,0.06834473678021433,0.021333599914059385,7,14,6,71,306
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,17,4,0.07638277491913043,0.03320136598820522,4,8,15,42,96
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,4,0,0.19709528454460368,0.07400688573286567,5,9,18,44,74
