nombre de noeuds,nombre d'aretes,degre moyen,degre minimal,degre maximal,distance moyenne,dynamique de propagation,proportion propagation,nombre de honeypots,nombre de smart honeypots,probabilite I -> S,probabilite S -> R,degre du noeud source,nombre inf 5,nombre res 5,epidemic peak,time to extinction
69,191,19.768115942028984,0,68,3.8286445012787724,1,-1,2,1,0.23991026226234538,0.13446719230044116,4,4,30,10,46
48,129,14.4375,0,47,3.148936170212766,1,-1,0,0,0.23766023101359748,0.12413957750249277,5,4,24,11,52
117,335,31.863247863247864,0,116,4.679192455054524,1,-1,7,3,0.029957358050516178,0.11517744082915225,5,7,44,30,177
38,102,11.93421052631579,0,37,2.799431009957326,1,-1,1,0,0.2106032493418244,0.055954883400767666,5,7,6,23,130
53,142,15.679245283018869,0,52,3.5391872278664733,1,-1,10,7,0.16275227224213876,0.010126400281369886,5,5,1,44,511
31,78,10.016129032258064,0,30,2.6838709677419357,1,-1,5,0,0.12323591729856964,0.09363722793627127,4,6,15,8,79
95,268,26.321052631578947,0,94,4.316237402015678,1,-1,5,0,0.06254399646335589,0.17722378415364437,6,8,51,32,82
81,230,22.839506172839506,0,80,3.8570987654320987,1,-1,3,2,0.15707302548916674,0.04158937326133647,4,5,11,47,262
98,274,27.04591836734694,0,97,4.432779297285925,1,-1,17,10,0.05291707013081669,0.1380361722614233,6,4,49,9,39
81,225,22.77777777777778,0,80,4.008333333333334,1,-1,7,1,0.09200303346614201,0.02562333722959702,5,6,7,63,433
64,176,18.5,0,63,3.605654761904762,1,-1,15,13,0.1885924083141368,0.17013344464299848,6,0,30,1,27
46,123,13.923913043478262,0,45,3.166183574879227,1,-1,5,3,0.07494102252480725,0.0757737580136594,8,7,12,24,82
81,227,22.80246913580247,0,80,4.034259259259259,1,-1,12,4,0.24602834889534916,0.10405143478801047,7,5,26,10,38
115,328,31.35217391304348,0,114,4.539130434782609,1,-1,18,13,0.2573248970064774,0.1762032148894997,5,2,58,5,28
75,208,21.273333333333333,0,74,3.957117117117117,1,-1,6,5,0.049294356671249075,0.04625848138842528,6,8,10,52,302
114,322,31.07456140350877,0,113,4.618226983387673,1,-1,19,19,0.08112565947766072,0.025259055655625695,4,6,10,78,319
42,110,12.869047619047619,0,41,3.0801393728222997,1,-1,1,1,0.06665758136742629,0.14398685253821583,5,7,21,12,97
103,290,28.315533980582526,0,102,4.453835903293356,1,-1,23,17,0.24801465069713344,0.16301723463231627,6,0,53,2,26
71,193,20.218309859154928,0,70,3.8450704225352115,1,-1,5,0,0.09780065789413936,0.1693380759791627,9,4,35,14,49
92,259,25.565217391304348,0,91,4.205685618729097,1,-1,0,0,0.2045303560472936,0.15973068481797237,6,7,53,11,64
75,209,21.286666666666665,0,74,3.901981981981982,1,-1,8,4,0.08280949653710389,0.09154833564970227,5,7,23,36,135
101,282,27.792079207920793,0,100,4.525346534653465,1,-1,22,16,0.09986044929449774,0.1275689630749802,5,4,27,8,26
107,304,29.3411214953271,0,106,4.514018691588785,1,-1,5,3,0.048152447424414886,0.15120459679393455,6,7,53,22,101
47,127,14.202127659574469,0,46,3.15263644773358,1,-1,1,0,0.15210865067210147,0.01861803783573055,6,6,1,41,622
78,219,22.057692307692307,0,77,3.913086913086913,1,-1,7,1,0.0805895207721415,0.049628634805925054,6,7,14,46,302
77,216,21.805194805194805,0,76,3.8861927546138073,1,-1,7,7,0.036175626668906245,0.06848849283903753,5,5,23,23,156
66,180,18.977272727272727,0,65,3.804195804195804,1,-1,1,0,0.05850314622107278,0.174063878176778,6,4,36,15,225
117,330,31.82051282051282,0,116,4.741379310344827,1,-1,21,7,0.2822263160572161,0.11787090569996467,7,2,48,6,25
118,335,32.08898305084746,0,117,4.725626539185861,1,-1,4,0,0.10688204708254918,0.05874347558985565,4,3,32,26,159
89,249,24.797752808988765,0,88,4.144279877425945,1,-1,11,4,0.0999712363921992,0.1773748378769522,7,4,45,7,32
53,144,15.716981132075471,0,52,3.3846153846153846,1,-1,10,6,0.15866315554979002,0.08203593286298067,4,5,13,13,40
30,77,9.816666666666666,0,29,2.52183908045977,1,-1,1,0,0.02336862016322662,0.06881385618966658,5,7,7,16,390
30,78,9.85,0,29,2.5885057471264368,1,-1,6,5,0.06738814416917012,0.13365226315370732,4,3,11,7,32
69,193,19.797101449275363,0,68,3.7190963341858483,1,-1,0,0,0.11279064369354627,0.16003859419324715,4,6,33,12,75
34,89,10.867647058823529,0,33,2.766488413547237,1,-1,5,4,0.13890421779084652,0.15936082026424936,8,2,17,6,25
117,332,31.837606837606838,0,116,4.7346006483937515,1,-1,5,1,0.21241730383040078,0.14212606750075377,7,7,53,23,52
108,305,29.574074074074073,0,107,4.4633091034960195,1,-1,24,7,0.2737093658514403,0.15242216509761217,5,4,57,4,26
91,255,25.302197802197803,0,90,4.283516483516483,1,-1,3,0,0.24982153221253467,0.08589526690882204,6,5,29,12,65
99,279,27.318181818181817,0,98,4.3024118738404455,1,-1,17,8,0.1670261829725554,0.14576830202300073,5,5,39,11,41
98,275,27.056122448979593,0,97,4.432358510414475,1,-1,4,4,0.11757127694845472,0.15013007769197376,6,6,44,19,46
65,179,18.753846153846155,0,64,3.6490384615384617,1,-1,3,0,0.21655301872515637,0.058677364497541885,6,4,13,36,136
68,185,19.470588235294116,0,67,3.7515364354697103,1,-1,7,5,0.29433322247149724,0.18331118160673227,6,4,37,8,33
45,120,13.666666666666666,0,44,3.188888888888889,1,-1,7,5,0.1402042901546667,0.11070780339731089,7,4,18,14,46
45,122,13.71111111111111,0,44,3.084848484848485,1,-1,10,7,0.16456133985948942,0.006017565456840091,7,3,0,42,871
67,182,19.21641791044776,0,66,3.834916327453641,1,-1,14,13,0.2360638171305481,0.10568380288671075,4,5,18,5,40
80,223,22.5375,0,79,3.984493670886076,1,-1,0,0,0.10636776285930345,0.09003613657572407,4,2,21,19,244
48,131,14.479166666666666,0,47,3.1693262411347516,1,-1,1,0,0.22708224557563145,0.10626567274016824,6,6,12,21,97
87,245,24.316091954022987,0,86,4.151029136594493,1,-1,14,13,0.1985376452459316,0.16835388535859816,5,8,40,10,22
114,323,31.083333333333332,0,113,4.68234746157429,1,-1,18,1,0.25861337528577477,0.1716154891169438,5,4,55,8,32
81,224,22.765432098765434,0,80,4.144444444444445,1,-1,0,0,0.03637804528324441,0.11145473852711346,8,6,32,23,678
72,199,20.51388888888889,0,71,3.842331768388106,1,-1,4,3,0.284847818097049,0.04632637701597391,5,3,9,39,151
102,288,28.073529411764707,0,101,4.448262473306154,1,-1,8,1,0.06392135657875407,0.09216908649023597,5,7,31,43,139
82,229,23.04268292682927,0,81,4.044564890093345,1,-1,4,4,0.2192275233910726,0.11758210974222186,6,5,31,16,55
114,323,31.083333333333332,0,113,4.6744294364229155,1,-1,17,11,0.11080165054523079,0.0449953622722801,6,8,14,54,198
97,275,26.835051546391753,0,96,4.286512027491409,1,-1,18,9,0.1421535387059693,0.11823899641972811,6,6,38,13,36
77,213,21.766233766233768,0,76,3.841421736158578,1,-1,16,1,0.24752973343386558,0.10604069187078238,5,6,23,19,52
120,342,32.6,0,119,4.734453781512605,1,-1,9,0,0.20028545642447707,0.10555367034759951,8,5,39,10,55
85,237,23.788235294117648,0,84,4.180392156862745,1,-1,17,3,0.2988469620247506,0.1024894538256435,5,3,32,8,51
45,118,13.622222222222222,0,44,3.139393939393939,1,-1,3,1,0.23360325811388533,0.11995147166646519,4,5,19,7,43
66,183,19.022727272727273,0,65,3.5636363636363635,1,-1,4,0,0.10962224851587477,0.13711397108657197,3,2,25,5,39
99,280,27.328282828282827,0,98,4.352504638218924,1,-1,12,7,0.023090592142905143,0.1944289016201607,6,6,62,6,21
72,198,20.5,0,71,3.872848200312989,1,-1,8,7,0.037479897258560345,0.01819404346143738,5,8,4,62,1023
71,196,20.260563380281692,0,70,3.6764587525150905,1,-1,0,0,0.10642153856083761,0.1046276403853984,4,3,25,16,236
117,333,31.846153846153847,0,116,4.613616268788682,1,-1,7,4,0.10543248850889865,0.10838068571094193,7,5,46,22,68
68,188,19.514705882352942,0,67,3.7603160667251974,1,-1,16,13,0.07319057147235905,0.0373822521731722,4,7,16,36,192
