nombre de noeuds,nombre d'aretes,degre moyen,degre minimal,degre maximal,distance moyenne,dynamique de propagation,proportion propagation,nombre de honeypots,nombre de smart honeypots,probabilite I -> S,probabilite S -> R,degre du noeud source,nombre inf 5,nombre res 5,epidemic peak,time to extinction
131,374,5.709923664122138,3,10,4.935995302407516,1,-1,6,0,0.0942122405318532,0.060844164571227856,6,11,35,49,132
116,326,5.620689655172414,3,11,4.8691154422788605,1,-1,21,10,0.12145834383381623,0.036424447785004414,6,11,14,83,132
116,328,5.655172413793103,3,10,4.737031484257871,1,-1,24,9,0.07486912643702194,0.0193282824453607,6,6,7,93,211
112,318,5.678571428571429,3,10,4.486969111969112,1,-1,2,0,0.10889270691021119,0.015354038118748914,7,13,2,101,1082
131,375,5.7251908396946565,3,9,4.88349970640047,1,-1,5,0,0.0210157588457208,0.04890671022212858,7,14,26,43,656
137,393,5.737226277372263,3,9,4.9293688278231,1,-1,28,8,0.09385078746674146,0.026407959914495818,4,10,20,100,157
86,240,5.5813953488372094,3,10,3.9827633378932967,1,-1,19,4,0.20166899481336908,0.04867351393848007,7,8,16,33,41
132,375,5.681818181818182,4,9,5.17441591487393,1,-1,9,1,0.20391947421006965,0.022199783937833013,8,11,12,100,187
119,337,5.663865546218488,3,9,4.7047429141147985,1,-1,4,2,0.29056582240093115,0.05807959897416359,5,14,20,49,67
80,225,5.625,3,9,3.8408227848101264,1,-1,6,1,0.15384714627367554,0.07084416594232092,4,13,22,41,85
138,392,5.681159420289855,3,8,5.174124616523855,1,-1,19,8,0.07787393422052791,0.03496210833173583,5,14,15,102,208
105,301,5.733333333333333,3,8,4.382600732600733,1,-1,5,2,0.20930854327229081,0.08464021658376006,5,10,32,36,50
138,390,5.6521739130434785,3,9,5.1725378186819,1,-1,24,5,0.2090278839303471,0.05108032528886032,6,11,25,22,37
143,407,5.6923076923076925,3,9,5.111888111888112,1,-1,11,0,0.1736351110836287,0.011657453919984174,4,4,11,122,480
80,223,5.575,3,9,4.075632911392405,1,-1,4,2,0.25129786014472666,0.008577426545516883,6,11,4,70,575
136,387,5.6911764705882355,3,10,4.980718954248366,1,-1,9,4,0.13490709845115012,0.09543833251212684,4,12,54,31,46
117,330,5.641025641025641,3,10,4.667992926613616,1,-1,11,0,0.12752535404013987,0.06378395777801306,4,9,36,27,65
133,379,5.6992481203007515,3,10,5.0412394622920935,1,-1,13,1,0.299891151884008,0.08369945253421085,3,6,31,19,24
106,300,5.660377358490566,3,9,4.492722371967655,1,-1,3,0,0.20830613182706695,0.017688400706688243,5,9,6,89,350
128,364,5.6875,3,9,4.964320866141732,1,-1,26,6,0.041726626374401075,0.08411057076807675,6,12,35,20,44
83,233,5.614457831325301,3,10,4.001175433441081,1,-1,3,1,0.2856600043505791,0.024627952178650134,7,9,11,57,146
127,362,5.700787401574803,3,10,4.838770153730784,1,-1,10,3,0.24349699157109045,0.03539760302560037,5,13,14,79,110
108,304,5.62962962962963,3,11,4.63637937002423,1,-1,19,8,0.17956720909730656,0.059136871445068594,7,9,21,32,41
136,388,5.705882352941177,3,9,4.999019607843137,1,-1,18,5,0.1297612630439946,0.023033710514725605,6,11,11,100,200
132,378,5.7272727272727275,3,9,4.866759195003469,1,-1,4,1,0.19158384703731268,0.04164694613166861,3,8,16,80,163
134,384,5.731343283582089,3,10,4.841880821456627,1,-1,29,10,0.11839495102387601,0.009691384870586142,7,10,3,121,533
80,223,5.575,3,9,4.0015822784810124,1,-1,3,0,0.1719472653882266,0.08613010198421682,8,4,23,28,47
91,258,5.670329670329671,3,10,4.124786324786324,1,-1,20,8,0.037869250272192796,0.059170933321154695,6,11,22,48,77
107,303,5.663551401869159,3,10,4.438899664962088,1,-1,14,1,0.22376053555519693,0.05654959509643236,7,11,21,36,50
143,411,5.748251748251748,3,10,5.049246528119768,1,-1,31,12,0.26554207560938536,0.055493200008938426,10,10,24,20,23
130,372,5.723076923076923,3,11,4.859868813357186,1,-1,24,2,0.15219703646207505,0.09633527124599811,6,10,44,20,23
137,388,5.664233576642336,3,9,5.242164018892228,1,-1,8,2,0.048413125837885394,0.05528124375873153,7,15,28,85,305
104,295,5.673076923076923,4,11,4.390776699029126,1,-1,17,2,0.2694419244022059,0.035979450247204184,7,6,15,41,46
111,310,5.585585585585585,2,10,4.718099918099918,1,-1,0,0,0.15195918316165252,0.06044076085084802,5,11,28,47,251
130,368,5.661538461538462,3,9,5.017889087656529,1,-1,9,0,0.09129061555206557,0.004064967029073774,4,8,1,125,3514
131,373,5.694656488549619,3,10,4.961832061068702,1,-1,16,2,0.11214752479640179,0.01724104243104556,7,12,11,100,351
118,338,5.728813559322034,3,8,4.662175865565696,1,-1,18,4,0.054056605396615456,0.01636306028286822,5,12,10,96,602
116,329,5.672413793103448,3,9,4.685757121439281,1,-1,4,1,0.05582455545504334,0.02857893912447253,4,11,12,94,680
126,358,5.682539682539683,3,10,4.934984126984127,1,-1,17,7,0.1905838464167736,0.08522669692094323,5,0,32,2,4
134,383,5.7164179104477615,3,10,4.828526540231175,1,-1,22,2,0.16964690368460267,0.09888466635380716,6,10,40,17,20
125,355,5.68,3,11,4.869935483870968,1,-1,13,6,0.06970311476878693,0.0638391779642548,6,10,30,63,104
139,394,5.669064748201439,3,9,5.1609842560734025,1,-1,19,1,0.12879302275898669,0.015370962249146875,6,8,6,112,313
84,234,5.571428571428571,3,9,4.131095811818703,1,-1,15,4,0.07088454553410359,0.08247470534712693,4,6,24,24,41
100,283,5.66,3,11,4.316565656565657,1,-1,1,0,0.07837460049960777,0.015135276138319775,5,11,5,89,1230
122,344,5.639344262295082,3,9,4.827123695976155,1,-1,27,13,0.2920667690609526,0.09196274060152683,8,6,42,10,15
85,240,5.647058823529412,2,10,3.9168067226890755,1,-1,8,4,0.22894335476337996,0.008738553386064815,7,9,1,78,472
109,308,5.651376146788991,3,10,4.596670064559973,1,-1,17,4,0.023681696440187194,0.043588760527692574,4,14,11,89,465
149,427,5.731543624161074,3,12,4.903591510974061,1,-1,25,2,0.12084100690228196,0.06649903595010945,5,8,33,21,33
103,290,5.631067961165049,3,10,4.483723586521988,1,-1,7,0,0.04950778792002624,0.07524135743007417,3,10,24,46,210
116,333,5.741379310344827,3,10,4.441529235382309,1,-1,17,1,0.1449087320635243,0.06789936620157698,7,6,34,30,40
103,291,5.650485436893204,4,9,4.511897963068723,1,-1,9,2,0.12458594241869568,0.056021705540376235,7,10,18,56,110
86,239,5.558139534883721,3,9,4.182763337893297,1,-1,15,6,0.11161261443042789,0.021911681123590446,5,4,7,60,147
136,383,5.632352941176471,3,9,5.169934640522876,1,-1,6,3,0.020660133351726385,0.0037801919762631905,5,15,0,132,11409
117,332,5.6752136752136755,3,11,4.629973474801061,1,-1,16,5,0.2671333792053595,0.09193573090696262,11,12,30,22,22
138,395,5.72463768115942,3,10,4.939595895482915,1,-1,28,5,0.2654503818783159,0.06589452934297274,7,4,37,12,17
97,272,5.608247422680412,3,9,4.293384879725086,1,-1,3,1,0.28724339212881317,0.02026191001056516,8,9,8,70,212
84,234,5.571428571428571,3,9,4.164084911072863,1,-1,9,1,0.2826877555909025,0.07715507312882579,6,10,22,33,34
112,317,5.660714285714286,3,9,4.676158301158301,1,-1,6,0,0.036345464815556575,0.08598336820707951,5,12,30,49,322
133,379,5.6992481203007515,3,10,4.91410344041923,1,-1,15,1,0.2423066835246145,0.055231518533810676,7,10,28,52,47
104,293,5.634615384615385,3,9,4.530433159073936,1,-1,18,9,0.12940296051263497,0.02898480015846189,8,6,9,79,128
80,223,5.575,3,10,3.9316455696202532,1,-1,13,2,0.20089441631546656,0.08634969005287332,7,10,20,19,29
101,285,5.643564356435643,3,10,4.440396039603961,1,-1,19,2,0.2445316840160339,0.04290141571535274,3,11,17,48,55
98,278,5.673469387755102,3,10,4.295602777193351,1,-1,13,5,0.19614274401601647,0.025354707969536705,7,8,10,60,113
150,431,5.746666666666667,3,10,5.246442953020134,1,-1,33,3,0.11028717824341196,0.03776134536904093,10,4,21,53,57
