nombre de noeuds,degre moyen,distance moyenne,dynamique de propagation,proportion propagation,nombre de honeypots,nombre de smart honeypots,probabilite I -> S,probabilite S -> R,degre du noeud source,epidemic peak,time to extinction
74,20.993243243243242,3.966679007774898,1,0,15,12,0.24115312420844262,0.005014016891119844,6,57,1087
111,30.33783783783784,4.503521703521703,1,0,32,24,0.21501895943451435,0.027929033851433284,5,55,201
115,31.343478260869563,4.579862700228833,1,0,13,4,0.29077487030721894,0.08764041208839067,5,25,86
82,23.01829268292683,4.111412225233363,1,0,17,3,0.010451206492845413,0.08205496628477149,4,26,184
93,25.795698924731184,4.405095839177186,1,0,23,14,0.2567152101501373,0.017248316215455594,8,62,324
98,27.066326530612244,4.46454870608037,1,0,0,0,0.2496838626736849,0.08955568702179678,8,13,85
57,16.68421052631579,3.6033834586466167,1,0,7,7,0.0824348474854598,0.16309042145793004,5,10,36
79,22.29746835443038,3.9185329438493994,1,0,23,18,0.20302695247014144,0.12024564333248387,4,9,46
99,27.318181818181817,4.454957740672026,1,0,7,1,0.07902210622097806,0.024182017067736507,4,76,607
108,29.574074074074073,4.5058843890619595,1,0,14,8,0.1409171391811053,0.07915871604669554,8,13,78
36,11.333333333333334,2.8174603174603177,1,0,6,3,0.1646194735895598,0.009041780602468541,7,32,487
59,17.24576271186441,3.4962010520163647,1,0,2,0,0.20243612543883382,0.07147125047205974,5,30,144
95,26.278947368421054,4.301231802911534,1,0,17,16,0.26093224770539464,0.11254532909116033,5,5,38
87,24.25862068965517,4.224538893344025,1,0,0,0,0.10189733220712019,0.0036318732351483976,5,81,7337
47,14.180851063829786,3.0730804810360777,1,0,12,1,0.18724803417382127,0.07584517967005822,7,14,56
45,13.688888888888888,3.1444444444444444,1,0,5,3,0.2699215524763464,0.08076922743809617,4,1,49
110,30.104545454545455,4.461718098415346,1,0,11,3,0.2867806527894382,0.02461154774595935,8,56,226
68,19.514705882352942,3.665057067603161,1,0,4,0,0.2868538747514482,0.10278925662305971,5,21,54
50,14.93,3.363265306122449,1,0,4,0,0.23102612055304936,0.10418076709220679,4,13,68
110,30.086363636363636,4.564136780650542,1,0,4,1,0.12328025550477299,0.18565103679503037,7,15,53
47,14.180851063829786,3.1461609620721553,1,0,1,0,0.15404926813831085,0.12736110309527293,5,13,78
47,14.159574468085106,3.2275670675300647,1,0,10,7,0.11041649611917127,0.14471340297918966,6,9,27
105,28.79047619047619,4.601648351648351,1,0,24,1,0.07493103906934866,0.03484885838044112,8,1,158
68,19.544117647058822,3.584723441615452,1,0,19,1,0.07033490926239228,0.1260595643813067,4,11,35
47,14.159574468085106,3.133209990749306,1,0,2,2,0.28592629815104986,0.1912551848653127,5,6,44
120,32.583333333333336,4.75266106442577,1,0,32,15,0.15145486769930805,0.07400205736035914,5,28,130
40,12.375,2.9615384615384617,1,0,2,0,0.29893067716761135,0.07582742053392102,4,1,61
119,32.34873949579832,4.807862127902008,1,0,6,3,0.15321289077802136,0.03990480295118104,6,62,224
50,14.93,3.333877551020408,1,0,5,0,0.19201613259713884,0.03373172748241569,5,34,234
91,25.302197802197803,4.226129426129426,1,0,24,13,0.06509365369554702,0.10849263234334972,5,9,43
53,15.735849056603774,3.2685050798258346,1,0,8,0,0.09887062154768268,0.12136148258618998,5,11,55
69,19.753623188405797,3.6709292412617223,1,0,7,6,0.07472232831280903,0.09998721236089494,4,28,81
116,31.594827586206897,4.6476761619190405,1,0,30,21,0.1533302296320836,0.11353318141238676,5,11,34
60,17.45,3.7084745762711866,1,0,17,7,0.17309236271344086,0.1739763532963538,6,2,27
100,27.56,4.399191919191919,1,0,7,5,0.034804315720312395,0.0007723061040021628,6,100,42008
91,25.313186813186814,4.25006105006105,1,0,8,0,0.22682378093119607,0.13986752774577935,4,8,34
33,10.575757575757576,2.765151515151515,1,0,5,4,0.06617986853655111,0.08299346323036944,8,14,82
43,13.19767441860465,3.0376522702104096,1,0,9,5,0.07828606825196734,0.15682526695167007,8,9,31
107,29.322429906542055,4.483512608005642,1,0,11,2,0.1239631970198669,0.15053246062252934,6,16,43
33,10.666666666666666,2.634469696969697,1,0,5,4,0.21325902778561834,0.08923317908682932,5,15,66
105,28.82857142857143,4.3880952380952385,1,0,6,6,0.032695698693149186,0.1393336484741911,5,10,62
110,30.086363636363636,4.586488740617181,1,0,0,0,0.17165892516316683,0.07997503895796346,6,17,178
97,26.804123711340207,4.229381443298969,1,0,1,1,0.11201916446218912,0.07003216223696047,6,32,172
72,20.51388888888889,3.8513302034428794,1,0,2,0,0.21304947843086625,0.099177571200221,5,12,51
91,25.313186813186814,4.138949938949939,1,0,12,10,0.1406274491664863,0.18114472545770913,4,13,39
61,17.75409836065574,3.5398907103825135,1,0,0,0,0.11014233326674668,0.014511045200629402,6,50,1344
116,31.57758620689655,4.683658170914542,1,0,23,10,0.015577103467456117,0.1647531755525038,5,2,36
46,13.945652173913043,3.157487922705314,1,0,8,7,0.11832065518765131,0.1547610979474081,7,3,32
114,31.05701754385965,4.793199813693525,1,0,9,3,0.09753491432955397,0.17212120418687774,5,12,32
87,24.316091954022987,4.02753274525528,1,0,13,13,0.031358909627796895,0.17313475236081313,4,15,61
93,25.806451612903224,4.319074333800842,1,0,14,13,0.2839758861378204,0.14500462572831416,6,8,41
114,31.100877192982455,4.558764167054806,1,0,33,19,0.0636279745181464,0.11053129260955406,8,13,45
61,17.75409836065574,3.610928961748634,1,0,4,0,0.1138517503720327,0.12224897505416517,6,5,41
62,18.008064516129032,3.5182443151771547,1,0,6,3,0.15498243407748097,0.1955299398358279,5,8,29
50,15.01,3.1648979591836737,1,0,11,7,0.19046842044229215,0.011494541199022624,7,42,424
92,25.565217391304348,4.209507883420927,1,0,10,7,0.10966559086532161,0.19508824922067955,5,8,30
105,28.80952380952381,4.515384615384615,1,0,12,0,0.014867372225027,0.0552014508618802,7,59,751
34,10.838235294117647,2.8146167557932262,1,0,9,0,0.19264216816672544,0.11521957056652528,4,1,23
111,30.355855855855857,4.504176904176904,1,0,15,4,0.08404516799259976,0.0021030705694519594,8,102,5673
57,16.68421052631579,3.4993734335839597,1,0,2,1,0.048427104593090166,0.1829273053525856,6,7,40
102,28.083333333333332,4.427878081925839,1,0,29,4,0.03855897049096717,0.0567041158399207,8,32,71
95,26.310526315789474,4.382306830907055,1,0,8,7,0.0838977309110265,0.10194179703041484,5,32,90
31,10.016129032258064,2.7204301075268815,1,0,2,2,0.16516412381805157,0.08992248915294632,4,1,22
75,21.246666666666666,4.045045045045045,1,0,12,5,0.0320558507508718,0.058219433527193235,5,44,173
37,11.54054054054054,2.9129129129129128,1,0,10,6,0.2738048313392821,0.17521433875845174,7,3,26
56,16.464285714285715,3.4435064935064936,1,0,13,12,0.12250518143556141,0.13698522016466305,5,9,35
88,24.556818181818183,4.11337513061651,1,0,20,19,0.09400765998619498,0.13217548150597952,6,8,40
77,21.766233766233768,4.097402597402597,1,0,7,4,0.21450100628567367,0.08848186587080564,5,23,60
113,30.8141592920354,4.715549936788875,1,0,16,3,0.06643498547803717,0.04113844904724176,6,58,265
35,11.185714285714285,2.6739495798319326,1,0,3,1,0.1257175650172179,0.11118885084410786,5,13,47
34,10.867647058823529,2.766488413547237,1,0,8,0,0.29468035696691486,0.1996993238367929,4,5,15
118,32.097457627118644,4.557728523830218,1,0,18,6,0.08806865005403436,0.03749996668812616,7,67,208
81,22.77777777777778,4.041666666666667,1,0,8,2,0.279861356688959,0.11757548886705388,7,6,33
111,30.32882882882883,4.477968877968878,1,0,31,18,0.12228370316551111,0.05416397905620181,6,12,91
84,23.523809523809526,4.115031554790591,1,0,5,2,0.07899623968552798,0.12618073177170186,6,19,100
79,22.28481012658228,3.9597533268419345,1,0,16,3,0.18153090933959334,0.16849243054333077,3,4,25
32,10.34375,2.6350806451612905,1,0,9,2,0.15149566897416525,0.18747768562760422,7,4,36
73,20.78082191780822,3.7492389649923896,1,0,21,1,0.06055052480570025,0.16510926141656393,5,11,51
36,11.305555555555555,2.911111111111111,1,0,4,2,0.13110603326815695,0.11805527606677178,3,3,50
70,20.021428571428572,3.6285714285714286,1,0,5,0,0.28782994778968923,0.0627659906409315,7,23,97
59,17.21186440677966,3.5686732904734075,1,0,12,8,0.05644583911849599,0.16418827780960688,6,2,21
107,29.350467289719628,4.468171398342444,1,0,23,21,0.020678577098436207,0.07753718776047863,5,11,69
81,22.82716049382716,3.8796296296296298,1,0,2,1,0.2968665230415357,0.19970976864864043,6,4,31
93,25.774193548387096,4.309490416082282,1,0,6,0,0.09982889638247956,0.06335074935015872,6,42,143
89,24.797752808988765,4.262512768130746,1,0,7,4,0.18901216673489218,0.14217577883689525,5,8,42
91,25.302197802197803,4.231990231990232,1,0,19,19,0.15146158170841556,0.1963779233536437,6,8,37
68,19.5,3.839332748024583,1,0,13,11,0.20335249330110905,0.06517785305612718,7,19,83
46,13.967391304347826,3.0608695652173914,1,0,4,2,0.26194232699931314,0.04420648864254511,4,24,129
36,11.416666666666666,2.749206349206349,1,0,4,0,0.24186720215628355,0.11069828995266998,4,7,29
52,15.442307692307692,3.239819004524887,1,0,11,7,0.27043355998592167,0.078941564045912,4,14,61
84,23.523809523809526,4.097532989099254,1,0,21,13,0.2515628839216155,0.027951783837475278,5,48,297
109,29.834862385321102,4.581379544682297,1,0,15,11,0.2722573300108519,0.053513741465299816,7,9,107
76,21.526315789473685,3.894035087719298,1,0,22,16,0.27247607165606225,0.15611755586875609,6,5,21
70,20.007142857142856,3.8327122153209108,1,0,0,0,0.023728409519744083,0.15815773534106348,6,18,460
88,24.568181818181817,4.113113897596656,1,0,4,3,0.04445306187011057,0.14734797669832667,4,20,130
39,12.192307692307692,2.8879892037786776,1,0,8,1,0.11083385549953242,0.08574738486135257,6,9,54
54,15.99074074074074,3.3459119496855347,1,0,6,1,0.21052419286695467,0.04787797204738902,5,23,142
38,11.881578947368421,2.8933143669985775,1,0,4,4,0.04037975171898768,0.17898531098893472,3,6,41
96,26.552083333333332,4.46140350877193,1,0,8,7,0.20573871385731832,0.024804527980682136,8,58,305
111,30.355855855855857,4.45995085995086,1,0,15,13,0.09706320486196142,0.059672575449128344,5,37,86
55,16.19090909090909,3.348148148148148,1,0,14,6,0.1832213772097249,0.036648900371644436,3,2,79
105,28.8,4.636996336996337,1,0,0,0,0.12604847933105917,0.013330412863553721,6,85,1242
74,21.0472972972973,3.7841540170307293,1,0,11,9,0.09312222073758013,0.02240873844274216,5,59,391
35,11.042857142857143,2.880672268907563,1,0,9,3,0.2842893110540722,0.05137332695853858,7,4,87
115,31.32608695652174,4.6912280701754385,1,0,31,8,0.18595588651039224,0.14566490815366046,5,1,35
120,32.59166666666667,4.717366946778712,1,0,14,4,0.29566215790388173,0.09604299756336113,6,14,47
