nombre de noeuds,degre moyen,distance moyenne,dynamique de propagation,proportion propagation,nombre de honeypots,nombre de smart honeypots,probabilite I -> S,probabilite S -> R,degre du noeud source,epidemic peak,time to extinction
46,13.923913043478262,3.190338164251208,1,0,10,8,0.18288362082333767,0.12911540212057862,6,7,33
72,20.52777777777778,3.859154929577465,1,0,2,1,0.19008324070049684,0.17292536328121733,6,12,43
107,29.3411214953271,4.532533944630576,1,0,19,3,0.051240691585670954,0.08327450821075451,5,1,43
96,26.520833333333332,4.48640350877193,1,0,5,3,0.23943408288740106,0.012378656601111527,5,79,750
63,18.261904761904763,3.5299539170506913,1,0,1,1,0.014224807870356545,0.15222026493277865,7,13,385
79,22.246835443037973,4.087309315157416,1,0,17,4,0.286211362017116,0.13409399514781156,6,10,42
103,28.33495145631068,4.321911288787359,1,0,12,11,0.15438707878506158,0.019320307044045193,7,74,442
43,13.127906976744185,3.053156146179402,1,0,4,0,0.04626226920999937,0.08147567953751561,5,22,252
43,13.19767441860465,3.026578073089701,1,0,5,5,0.2654918506240102,0.16647449797296118,7,12,33
50,14.95,3.2146938775510203,1,0,7,5,0.18987876988017136,0.028238231430586815,6,37,236
50,14.93,3.3289795918367346,1,0,1,1,0.1868906856221346,0.026876231977586085,4,36,313
114,31.100877192982455,4.547896289396056,1,0,8,7,0.15644705185772775,0.05587997747266234,5,63,159
32,10.40625,2.5423387096774195,1,0,7,0,0.20077814090008517,0.17671383425610812,5,1,16
115,31.33478260869565,4.704958047292143,1,0,12,5,0.21862508366087988,0.18444845711193558,5,2,31
32,10.34375,2.7399193548387095,1,0,1,0,0.06748276948041561,0.035257446247440184,5,26,465
94,26.05851063829787,4.261725005719515,1,0,5,3,0.2933605922653523,0.19044140286948558,3,5,26
118,32.08050847457627,4.780530204259017,1,0,21,7,0.07567465201177652,0.0842705334973922,5,23,84
51,15.22549019607843,3.172549019607843,1,0,8,2,0.051272924897355215,0.18643062768514,5,8,25
58,16.95689655172414,3.512401693889897,1,0,4,2,0.07485000478290692,0.1604505386365329,6,11,56
107,29.3411214953271,4.476282842532181,1,0,17,4,0.2457955750479474,0.06415261088986694,7,1,84
64,18.515625,3.5843253968253967,1,0,0,0,0.20847628607823107,0.028350621723729975,5,48,461
56,16.5,3.411038961038961,1,0,13,7,0.27535532137850666,0.0856421343974722,6,8,50
45,13.644444444444444,3.1626262626262625,1,0,8,0,0.14091632015187158,0.12646122201624116,4,7,48
119,32.3235294117647,4.825523429710867,1,0,9,4,0.1825814868506362,0.06570202909543202,7,35,96
39,12.14102564102564,2.9649122807017543,1,0,5,5,0.07275898042095238,0.14190113687511297,5,15,66
63,18.293650793650794,3.5320020481310803,1,0,11,6,0.011296528111497851,0.06727485295323214,8,37,526
78,22.01923076923077,3.9956709956709955,1,0,10,3,0.2187199573147079,0.15309131419848968,5,8,39
66,19.053030303030305,3.5375291375291376,1,0,4,3,0.29657121316945406,0.09864912542504978,5,9,29
97,26.855670103092784,4.127792096219931,1,0,11,4,0.2510510596393417,0.08065241514696478,6,19,67
95,26.321052631578947,4.355879059350504,1,0,12,8,0.2919349834214018,0.059747232175145326,7,28,87
45,13.688888888888888,3.101010101010101,1,0,4,1,0.25692386397679934,0.021632301856380078,5,32,341
102,28.05392156862745,4.624927198602213,1,0,16,11,0.29975823420130293,0.13612961232981363,5,5,45
79,22.259493670886076,3.892891918208374,1,0,8,8,0.29560338647579093,0.09444343361456052,7,10,49
