nombre de noeuds,nombre d'aretes,degre moyen,degre minimal,degre maximal,distance moyenne,dynamique de propagation,proportion propagation,nombre de honeypots,nombre de smart honeypots,probabilite I -> S,probabilite S -> R,degre du noeud source,nombre inf 5,nombre res 5,epidemic peak,time to extinction
35,89,11.042857142857143,0,34,2.8336134453781514,1,-1,7,3,0.10659098676984818,0.12069339224690366,9,5,16,5,27
81,226,22.790123456790123,0,80,3.922530864197531,1,-1,7,3,0.09900688394674687,0.15304044622287952,5,5,37,7,29
111,314,30.32882882882883,0,110,4.600655200655201,1,-1,17,15,0.08039309611221579,0.17377119381582212,4,2,52,2,44
95,269,26.33157894736842,0,94,4.263829787234043,1,-1,8,1,0.07556107961327774,0.18506570741249326,5,6,38,20,52
96,270,26.5625,0,95,4.326754385964913,1,-1,6,3,0.08511447976446239,0.18170649841955916,4,4,58,4,35
84,237,23.571428571428573,0,83,4.000286861732645,1,-1,18,8,0.264959487428523,0.08752592733313772,7,5,26,13,103
44,118,13.431818181818182,0,43,3.009513742071882,1,-1,10,9,0.12280503673222967,0.18922109546685736,4,5,17,12,30
84,233,23.523809523809526,0,83,4.150315547905909,1,-1,10,4,0.06401527484414934,0.09985060672125053,4,6,22,29,79
119,338,32.34033613445378,0,118,4.766272610739211,1,-1,23,18,0.22348022402273213,0.16542706923911388,8,5,68,7,21
46,124,13.945652173913043,0,45,3.0917874396135265,1,-1,7,2,0.2147440407609166,0.06946672871954614,6,5,12,17,69
97,274,26.824742268041238,0,96,4.265034364261169,1,-1,4,2,0.2342913600616142,0.13619851565375618,5,0,44,1,39
55,149,16.20909090909091,0,54,3.4255892255892255,1,-1,7,7,0.1739671737171081,0.04807305459186931,4,4,6,37,142
104,295,28.58653846153846,0,103,4.451456310679611,1,-1,8,4,0.0439645969677557,0.08873036836371384,4,7,34,33,144
89,250,24.808988764044944,0,88,4.1675178753830435,1,-1,20,10,0.1314119920661712,0.030413461020137113,7,2,16,17,221
110,311,30.077272727272728,0,109,4.544954128440367,1,-1,19,5,0.0496850489565866,0.05912806908708408,5,8,20,54,153
89,251,24.820224719101123,0,88,4.002808988764045,1,-1,15,10,0.1482952096199739,0.030552782551246563,4,4,5,56,274
82,229,23.04268292682927,0,81,4.10448660042156,1,-1,3,3,0.293252802296949,0.19312536734302466,7,7,43,8,30
117,330,31.82051282051282,0,116,4.804155614500442,1,-1,24,4,0.08266253912555528,0.05773181708317687,6,3,23,21,87
108,303,29.555555555555557,0,107,4.660782277604707,1,-1,12,11,0.01036461590372728,0.07188367790686466,9,5,30,39,387
48,128,14.416666666666666,0,47,3.269503546099291,1,-1,11,5,0.25042128874870784,0.1913305823520877,5,6,23,10,23
57,153,16.68421052631579,0,56,3.519423558897243,1,-1,6,1,0.21805523541118757,0.06540501756126586,5,0,7,1,70
60,163,17.466666666666665,0,59,3.547457627118644,1,-1,5,4,0.28948653936209745,0.05466000259350454,6,4,19,17,76
115,326,31.33478260869565,0,114,4.735011441647598,1,-1,1,0,0.2671065739297225,0.13291870624698215,5,4,55,8,36
94,268,26.101063829787233,0,93,4.141386410432395,1,-1,8,2,0.0399958858507677,0.07625495776567615,6,8,19,49,317
100,280,27.55,0,99,4.457777777777777,1,-1,17,13,0.23046645256660955,0.06772458775678279,7,3,27,22,71
79,219,22.272151898734176,0,78,4.077572216812723,1,-1,1,0,0.1840045045546459,0.026849074327358814,5,6,12,52,419
44,120,13.477272727272727,0,43,2.980972515856237,1,-1,5,4,0.20557222755740984,0.15736276058847953,4,2,18,7,34
86,245,24.098837209302324,0,85,3.823529411764706,1,-1,1,0,0.04519656092365208,0.15918700348887194,4,7,37,11,171
101,284,27.81188118811881,0,100,4.465940594059406,1,-1,17,3,0.021863954072762606,0.17023261046186688,6,6,58,9,55
60,164,17.483333333333334,0,59,3.638418079096045,1,-1,9,6,0.23594980326949594,0.09140724460424031,6,7,16,17,37
51,137,15.186274509803921,0,50,3.20078431372549,1,-1,10,0,0.22600980456838005,0.06801596560714838,6,4,16,17,97
83,231,23.283132530120483,0,82,4.014986776373788,1,-1,18,5,0.17530723613745533,0.04525885778213297,5,5,15,36,105
61,164,17.688524590163933,0,60,3.588524590163934,1,-1,7,6,0.15861060187569026,0.13516873857982237,4,4,26,5,26
80,226,22.575,0,79,3.8550632911392406,1,-1,18,4,0.27924357563002616,0.16622956237477307,5,1,43,3,23
45,123,13.733333333333333,0,44,3.0434343434343436,1,-1,0,0,0.2735778781935416,0.15504943660167864,6,2,23,11,90
73,205,20.80821917808219,0,72,3.7469558599695585,1,-1,10,1,0.23709233350389405,0.07982931640020596,5,0,26,1,42
64,176,18.5,0,63,3.6919642857142856,1,-1,3,3,0.17252128021232707,0.11873532984681,7,8,29,19,65
36,95,11.38888888888889,0,35,2.8714285714285714,1,-1,8,5,0.07468573833341642,0.01823524844994755,5,4,1,32,497
66,183,19.022727272727273,0,65,3.5496503496503498,1,-1,15,5,0.11387654366463788,0.06590044824685,7,2,20,11,94
115,322,31.3,0,114,4.865141113653699,1,-1,12,5,0.0620663947738968,0.17011288347535802,7,4,60,9,27
103,290,28.315533980582526,0,102,4.416523891109842,1,-1,12,9,0.16337364230473245,0.14525211954113004,5,4,44,10,44
34,90,10.897058823529411,0,33,2.691622103386809,1,-1,1,0,0.2531479259257736,0.15512355590162036,5,4,15,5,13
84,239,23.595238095238095,0,83,3.8952954675846243,1,-1,11,0,0.08992391579090372,0.08748887367448924,4,6,25,31,119
48,130,14.458333333333334,0,47,3.0700354609929077,1,-1,0,0,0.11703276631383941,0.08364974421479361,7,5,21,20,203
80,220,22.5,0,79,4.174050632911392,1,-1,1,1,0.1897865053289843,0.15989639263951305,5,4,42,5,32
82,232,23.079268292682926,0,81,3.930442637759711,2,0.3985006195129047,15,8,0.09130063399356753,0.17588551468291988,4,9,39,16,32
76,211,21.526315789473685,0,75,3.8764912280701753,2,0.5411145905329745,6,5,0.12388459214360656,0.1758486424738679,7,13,34,24,47
78,220,22.07051282051282,0,77,3.87978687978688,2,0.5200976354101758,10,8,0.10611646566164733,0.14418143969475108,4,13,28,26,62
32,85,10.40625,0,31,2.5766129032258065,2,0.056222335216035146,0,0,0.21011160101854764,0.14264120936641733,5,5,15,11,73
31,83,10.17741935483871,0,30,2.479569892473118,2,0.6203359166064603,7,6,0.1969954170401837,0.1688805375863872,4,5,15,7,41
83,234,23.319277108433734,0,82,3.9338818689391712,2,0.15126878112781383,5,1,0.19023243554755317,0.18727966718040265,6,5,38,9,32
94,263,26.04787234042553,0,93,4.3115991763898425,2,0.664508781916636,5,3,0.18057365767919173,0.1480331187393906,5,8,47,13,36
93,263,25.827956989247312,0,92,4.239597942964002,2,0.3684780365769452,16,6,0.12144090214934068,0.09989924806481537,6,17,30,40,52
113,321,30.84070796460177,0,112,4.594816687737041,1,-1,0,0,0.2647681352399229,0.05803783637068243,4,6,13,51,162
82,231,23.067073170731707,0,81,4.030713640469738,2,0.06943345586041294,16,10,0.1500406844637838,0.17435465810923,6,7,37,7,25
45,121,13.688888888888888,0,44,3.18989898989899,2,0.26528495371171235,8,8,0.2602587291135916,0.0939660784428488,8,12,14,19,79
98,275,27.056122448979593,0,97,4.444140542815064,2,0.6163178051161755,20,0,0.033741774241028054,0.18901902302372772,8,20,47,24,62
74,207,21.0472972972973,0,73,3.8863383931877085,2,0.12618397314528085,9,5,0.2689083679840409,0.08867338707395467,7,2,25,18,93
36,95,11.38888888888889,0,35,2.765079365079365,2,0.22511253604585157,1,1,0.15149218161935007,0.043442855676328974,5,7,4,30,252
