nombre de noeuds,nombre d'aretes,degre moyen,degre minimal,degre maximal,distance moyenne,dynamique de propagation,proportion propagation,nombre de honeypots,nombre de smart honeypots,probabilite I -> S,probabilite S -> R,degre du noeud source,nombre inf 5,nombre res 5,epidemic peak,time to extinction
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,2,0,0.1362751906109403,0.005867930161207009,7,7,2,8,24
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,2,0,0.07397026080386815,0.003239765168736381,5,4,2,6,28
87,245,5.632183908045977,4,10,3.9730018711574444,2,0.017018710930932768,2,0,0.06622963567686665,0.004433964699266444,5,6,1,7,52
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,2,0,0.10647803626514545,0.008513423871607514,6,5,1,8,71
87,245,5.632183908045977,4,10,3.9730018711574444,3,-1,2,0,0.10722694650386293,0.006930824955015911,8,0,0,1,2
87,245,5.632183908045977,4,10,3.9730018711574444,2,0.10870342053941573,2,0,0.14167206889806316,0.005417511309654245,8,2,1,2,37
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,2,0,0.08561001293025815,0.007544001842449802,4,5,7,14,97
87,245,5.632183908045977,4,10,3.9730018711574444,2,0.7261536257099571,2,0,0.05982653615709886,0.009095614646829397,6,5,4,12,75
87,245,5.632183908045977,4,10,3.9730018711574444,3,-1,2,0,0.052971459717802774,0.007294063492894708,6,1,0,1,27
87,245,5.632183908045977,4,10,3.9730018711574444,4,-1,2,0,0.1262515046670642,0.009219036947385136,7,0,0,1,1
87,245,5.632183908045977,4,10,3.9730018711574444,4,-1,2,0,0.056394419051125966,0.009388231589128607,5,1,3,2,26
87,245,5.632183908045977,4,10,3.9730018711574444,4,-1,2,0,0.14621048623427516,0.004581264562235442,8,1,1,1,11
87,245,5.632183908045977,4,10,3.9730018711574444,4,-1,2,0,0.12305712503781377,0.004653990559176462,5,1,0,1,23
87,245,5.632183908045977,4,10,3.9730018711574444,2,0.11684518448126224,2,0,0.05069318649089801,0.0019441001834755978,9,8,0,33,143
87,245,5.632183908045977,4,10,3.9730018711574444,1,-1,2,0,0.047456603395964775,0.007621543971616853,4,3,2,15,278
87,245,5.632183908045977,4,10,3.9730018711574444,5,-1,2,0,0.11442245652598698,0.005494225900954838,4,1,3,1,4
87,245,5.632183908045977,4,10,3.9730018711574444,5,-1,2,0,0.0628167610329213,0.005728827745212783,9,2,1,2,9
87,245,5.632183908045977,4,10,3.9730018711574444,5,-1,2,0,0.08217620272045237,0.0023766507560556032,7,2,1,2,11
87,245,5.632183908045977,4,10,3.9730018711574444,6,-1,2,0,0.11270343533864426,0.0068042190353548,5,2,0,2,4
87,245,5.632183908045977,4,10,3.9730018711574444,6,-1,2,0,0.06891088044011849,0.002536850688405909,4,1,1,1,8
87,245,5.632183908045977,4,10,3.9730018711574444,6,-1,2,0,0.14732813148697194,0.008986897143608608,6,1,5,1,18
87,245,5.632183908045977,4,10,3.9730018711574444,4,-1,2,0,0.04356047233120728,0.007616992295270368,4,1,4,6,84
87,245,5.632183908045977,4,10,3.9730018711574444,6,-1,2,0,0.14753569098650973,0.00767563234076086,5,1,4,1,5
87,245,5.632183908045977,4,10,3.9730018711574444,2,0.4402038467453996,2,0,0.029777981164088103,0.008838507895924334,5,2,2,46,451
87,245,5.632183908045977,4,10,3.9730018711574444,3,-1,2,0,0.0467707464392497,0.009535902419293873,6,2,4,14,249
87,245,5.632183908045977,4,10,3.9730018711574444,5,-1,2,0,0.034536607718492054,0.005899702247919396,6,2,2,4,137
87,245,5.632183908045977,4,10,3.9730018711574444,5,-1,2,0,0.033305347099349646,0.0026503716333155644,7,1,0,50,328
87,245,5.632183908045977,4,10,3.9730018711574444,3,-1,2,0,0.018708567634017827,0.0075192384866848705,5,3,2,35,449
87,245,5.632183908045977,4,10,3.9730018711574444,6,-1,2,0,0.011049057800389738,0.001768188297207077,5,1,1,1,825
87,245,5.632183908045977,4,10,3.9730018711574444,3,-1,2,0,0.018837683640400154,0.004541452392455099,4,9,1,38,387
