nombre de noeuds,degre moyen,distance moyenne,dynamique de propagation,proportion propagation,nombre de honeypots,nombre de smart honeypots,probabilite I -> S,probabilite S -> R,degre du noeud source,epidemic peak,time to extinction
72,20.51388888888889,3.852112676056338,1,0,4,3,0.13147942380675753,0.14878899884672087,4,6,55
64,18.5,3.5654761904761907,1,0,0,0,0.1635645589231275,0.0667949435178423,9,27,297
54,16.00925925925926,3.3228511530398324,1,0,9,8,0.11017909241754244,0.01737602211354432,5,46,515
54,15.972222222222221,3.392732354996506,1,0,29,20,0.04625557953924172,0.18820713391509483,6,2,10
78,21.993589743589745,4.092574092574092,1,0,5,2,0.25124886861388834,0.14932650323570076,6,8,32
32,10.375,2.6350806451612905,1,0,14,11,0.2509771953847479,0.04898593862018481,4,8,83
58,16.92241379310345,3.6709013914095583,1,0,15,6,0.07056471600151404,0.09472802021765887,6,20,86
44,13.386363636363637,3.03276955602537,1,0,11,2,0.052812717960812015,0.06740891939127946,4,26,107
21,7.476190476190476,2.219047619047619,1,0,11,7,0.28136417613712394,0.17973416611892246,4,3,15
75,21.26,3.910990990990991,1,0,45,29,0.1007785428381543,0.13949353811205117,6,1,28
55,16.20909090909091,3.4114478114478115,1,0,39,16,0.11472905657828933,0.09428062743190574,5,1,50
62,18.04032258064516,3.4881015335801164,1,0,49,38,0.23796128047814288,0.10573796588605829,6,4,31
20,7.15,2.205263157894737,1,0,15,4,0.03589991142067401,0.11907264616613783,5,2,36
46,13.902173913043478,3.2357487922705315,1,0,2,1,0.2519951260292655,0.03798586703476623,5,32,191
97,26.824742268041238,4.257087628865979,1,0,57,35,0.14428978394690384,0.02235981666313558,6,25,220
41,12.682926829268293,2.94390243902439,1,0,27,4,0.21156977308564548,0.10917068272755721,5,4,50
26,8.634615384615385,2.5815384615384613,1,0,7,7,0.11213456593286558,0.040516000869611025,6,18,128
20,7.2,2.2,1,0,11,2,0.2300209637854484,0.08138751827055352,3,6,44
48,14.375,3.227836879432624,1,0,24,8,0.09627890495783928,0.14426328399510602,3,2,25
25,8.56,2.3433333333333333,1,0,20,0,0.06503543456203116,0.06327574725002372,3,1,66
75,21.273333333333333,3.8616216216216217,1,0,22,18,0.07792903506563506,0.182389876420961,5,6,25
59,17.228813559322035,3.5336060783167738,1,0,49,8,0.26856041311925094,0.1948512959975904,5,2,15
51,15.186274509803921,3.287843137254902,1,0,10,9,0.07863085220862723,0.1848810060212812,5,7,86
97,26.814432989690722,4.327749140893471,1,0,51,20,0.269269532714978,0.03433400732778724,4,9,103
92,25.57608695652174,4.131390348781653,1,0,26,13,0.10447981646890697,0.010640686262888943,9,78,785
91,25.313186813186814,4.218070818070818,1,0,58,28,0.015008050056608466,0.13070174233580242,3,6,54
23,7.934782608695652,2.300395256916996,1,0,8,8,0.06608976189546417,0.10107662281788693,7,2,24
67,19.23134328358209,3.8222523744911805,1,0,25,23,0.015661254576761856,0.12297307716563943,4,1,23
66,19.068181818181817,3.53006993006993,1,0,1,1,0.22650831528281384,0.16087285923283148,5,16,64
48,14.458333333333334,3.13209219858156,1,0,5,1,0.25376519292885646,0.05462330675682774,5,23,114
