nombre de noeuds,nombre d'aretes,degre moyen,degre minimal,degre maximal,distance moyenne,dynamique de propagation,proportion propagation,nombre de honeypots,nombre de smart honeypots,probabilite I -> S,probabilite S -> R,degre du noeud source,nombre inf 5,nombre res 5,epidemic peak,time to extinction
51,136,15.166666666666666,0,50,3.3137254901960786,1,-1,1,0,0.11776238715034752,0.03534679821576965,4,5,6,24,200
110,311,30.077272727272728,0,109,4.610842368640534,1,-1,9,6,0.047680478951744806,0.13151719715734952,6,7,47,11,52
55,149,16.20909090909091,0,54,3.397979797979798,1,-1,10,1,0.14090093502001574,0.024697453720022036,3,4,7,32,174
36,94,11.36111111111111,0,35,2.8523809523809525,1,-1,6,0,0.2187976936989716,0.17053235115725487,4,4,12,10,24
37,98,11.64864864864865,0,36,2.869369369369369,1,-1,5,2,0.030424095973558808,0.014597634355310519,4,7,1,36,1374
37,98,11.64864864864865,0,36,2.858858858858859,1,-1,0,0,0.2471770904655662,0.11602665394281175,5,4,14,12,72
44,118,13.431818181818182,0,43,3.1141649048625792,1,-1,7,7,0.297383622767703,0.14113829362188665,5,7,14,12,34
59,162,17.24576271186441,0,58,3.3863237872589127,1,-1,0,0,0.17673792572449928,0.05923091484483725,7,8,14,26,185
87,243,24.29310344827586,0,86,4.080994386527666,1,-1,11,2,0.12296534603420116,0.15361851080484526,7,6,42,13,41
67,183,19.23134328358209,0,66,3.8245137946630483,1,-1,3,3,0.18098938034299725,0.12837039812381315,7,5,18,11,52
116,328,31.57758620689655,0,115,4.657571214392804,1,-1,18,1,0.2995920463357059,0.06682647704631273,6,4,32,9,66
37,97,11.621621621621621,0,36,2.824324324324324,1,-1,4,0,0.04675514550726756,0.16496492823985218,5,7,20,11,83
97,269,26.77319587628866,0,96,4.519974226804123,1,-1,3,3,0.1848594405709981,0.13421794299785125,7,5,47,19,49
40,107,12.425,0,39,3.033333333333333,1,-1,5,0,0.14983724937271828,0.06729942133481066,6,7,10,25,104
106,295,29.03301886792453,0,105,4.589398023360287,1,-1,22,8,0.06776663987482413,0.09838949836359008,7,6,31,16,70
93,262,25.817204301075268,0,92,4.259467040673211,1,-1,19,11,0.07902679959444563,0.06589508766961182,6,5,23,41,98
40,106,12.4,0,39,2.933333333333333,1,-1,0,0,0.2232740977554191,0.13145863281056241,7,2,17,8,36
47,128,14.22340425531915,0,46,3.0730804810360777,1,-1,10,2,0.06344165100671532,0.10603552302750247,3,5,18,16,77
116,326,31.560344827586206,0,115,4.732683658170915,1,-1,23,22,0.08425763087484947,0.08966833982853535,6,7,46,21,54
63,173,18.246031746031747,0,62,3.5924219150025603,1,-1,12,11,0.17337611958596436,0.14905702838697396,7,4,33,4,26
56,153,16.482142857142858,0,55,3.4876623376623375,1,-1,2,0,0.08951939383672103,0.146642051486057,5,4,27,14,94
112,318,30.589285714285715,0,111,4.613899613899614,1,-1,0,0,0.15233408353981528,0.028649912049966808,9,6,10,76,509
98,277,27.0765306122449,0,97,4.371554807490006,1,-1,17,3,0.05832026988519656,0.11311154677026508,7,0,31,1,38
45,121,13.688888888888888,0,44,3.180808080808081,1,-1,5,2,0.2983424350297211,0.00882699838901022,5,8,1,35,851
56,151,16.446428571428573,0,55,3.474675324675325,1,-1,7,3,0.15640104978167785,0.029973217523175347,9,5,1,42,222
72,197,20.48611111111111,0,71,3.9041471048513303,1,-1,9,9,0.14877381053490588,0.02453587571039222,5,6,4,50,281
51,139,15.22549019607843,0,50,3.259607843137255,1,-1,12,10,0.17324478541845076,0.14916609915138582,5,5,26,6,36
61,169,17.770491803278688,0,60,3.4633879781420767,1,-1,10,9,0.2916979277147607,0.13665908079348912,5,4,26,9,41
62,170,17.991935483870968,0,61,3.5547329455314647,1,-1,4,1,0.2934195381473112,0.03882683471474982,6,5,4,39,142
72,198,20.5,0,71,3.942488262910798,1,-1,5,2,0.1586984592006246,0.035071719670362024,4,5,10,50,341
37,98,11.64864864864865,0,36,2.8033033033033035,1,-1,5,5,0.2695743778631393,0.0743351775084599,7,7,8,16,51
119,337,32.331932773109244,0,118,4.61344537815126,1,-1,9,1,0.04628074912962956,0.06194105735481022,5,8,15,36,263
117,330,31.82051282051282,0,116,4.810639552018863,1,-1,0,0,0.06719530104356192,0.19283746241615005,6,6,74,13,175
92,256,25.532608695652176,0,91,4.327520305781175,1,-1,14,12,0.08491173156482315,0.012573898990296307,5,2,4,79,663
43,116,13.19767441860465,0,42,3.0221483942414173,1,-1,7,5,0.244246868914371,0.13183054416420217,6,4,20,4,27
120,342,32.6,0,119,4.834313725490196,1,-1,11,4,0.17169809998038793,0.13621675495424787,4,7,56,11,49
109,311,29.853211009174313,0,108,4.451919809717975,1,-1,21,7,0.16047215467819773,0.11239798641495291,5,0,33,2,33
117,332,31.837606837606838,0,116,4.652225169466549,1,-1,0,0,0.09363020518772484,0.14656510722752478,5,7,42,27,159
39,104,12.166666666666666,0,38,2.8394062078272606,1,-1,5,3,0.15828253036758752,0.04577450661304359,7,6,4,30,140
72,202,20.555555555555557,0,71,3.645931142410016,1,-1,2,1,0.21518563859480502,0.14023998452728045,7,7,31,8,41
60,162,17.45,0,59,3.5497175141242936,1,-1,12,1,0.031170627147495,0.19387345099904074,8,4,29,10,41
38,100,11.881578947368421,0,37,2.937411095305832,1,-1,5,3,0.2585143462725801,0.14174356989768028,5,5,13,11,35
36,96,11.416666666666666,0,35,2.7174603174603176,1,-1,6,2,0.24716690584724182,0.16915760582048392,5,4,22,6,25
78,214,21.993589743589745,0,77,4.136863136863137,1,-1,4,4,0.1599466450229092,0.12062832501310657,4,7,26,20,57
31,81,10.112903225806452,0,30,2.6,1,-1,5,1,0.010733248611674436,0.17921370040309886,4,4,17,6,46
67,186,19.276119402985074,0,66,3.6151062867480777,1,-1,13,2,0.26630899691699556,0.14349734080491613,5,4,33,4,31
105,297,28.82857142857143,0,104,4.503846153846154,1,-1,14,3,0.053244074627215005,0.011304424066703823,7,6,3,96,1582
106,297,29.05188679245283,0,105,4.792991913746631,1,-1,18,4,0.10297264541705115,0.07781726109246397,6,3,29,16,73
45,120,13.666666666666666,0,44,3.1121212121212123,1,-1,2,0,0.2888338178965218,0.09182933211591038,7,3,8,21,84
103,287,28.28640776699029,0,102,4.608414239482201,1,-1,10,10,0.24675005351699136,0.011993098928579804,6,6,5,72,844
63,174,18.261904761904763,0,62,3.565284178187404,1,-1,7,2,0.13567252089711218,0.04935578165950419,7,5,10,40,145
39,105,12.192307692307692,0,38,2.835357624831309,1,-1,4,2,0.20697362687725038,0.04448055483234097,6,3,6,24,124
114,320,31.05701754385965,0,113,4.7741034000931535,1,-1,13,2,0.05938810582933795,0.09528087424384785,7,4,38,30,83
95,267,26.310526315789474,0,94,4.480851063829787,1,-1,19,17,0.24967759523809083,0.13902438348531795,6,4,46,5,31
78,213,21.98076923076923,0,77,3.976356976356976,1,-1,7,1,0.25574215820654056,0.03406093274428459,6,6,12,37,186
91,255,25.302197802197803,0,90,4.321855921855922,1,-1,13,9,0.28069404753582716,0.15025422061956906,4,5,36,10,43
102,288,28.073529411764707,0,101,4.5014560279557365,1,-1,22,14,0.135455839197358,0.056900214370466246,4,0,21,1,71
48,128,14.416666666666666,0,47,3.1861702127659575,1,-1,10,1,0.2286189046171366,0.16405711087527608,4,2,30,3,18
118,332,32.063559322033896,0,117,4.767637259162683,1,-1,14,11,0.0442630260287539,0.04116087651185849,4,6,17,72,346
88,244,24.522727272727273,0,87,4.212643678160919,1,-1,20,6,0.29486753563748785,0.05128195995071847,5,4,12,22,74
49,131,14.673469387755102,0,48,3.2823129251700682,1,-1,5,5,0.018661576690201655,0.11877818964104139,4,8,20,16,129
60,166,17.516666666666666,0,59,3.550282485875706,1,-1,14,11,0.21739785022228322,0.12894081366222648,5,4,17,6,57
77,215,21.792207792207794,0,76,3.9241285030758717,1,-1,16,10,0.046351669925539,0.14616773194092778,5,8,35,13,62
66,183,19.022727272727273,0,65,3.5440559440559443,1,-1,1,0,0.13646219100376858,0.11983117375004891,6,8,30,21,113
