K,epidemic peak,cost fun,delta fun
160,8886.0,10344.006378777907,12
161,7025.0,8492.118918645268,12
162,7978.0,9454.231458512631,12
163,9260.0,10745.343998379993,12
164,6696.0,8190.456538247355,12
165,5266.0,6769.569078114717,12
166,7103.0,8615.681617982078,12
167,9660.0,11181.794157849441,11
168,9403.0,10933.906697716802,11
169,9420.0,10960.019237584165,11
170,5575.0,7124.131777451526,11
171,9870.0,11428.244317318888,11
172,7145.0,8712.35685718625,11
173,8768.0,10344.469397053612,11
174,5082.0,6667.581936920974,11
175,6782.0,8376.694476788336,11
176,7955.0,9558.807016655697,11
177,7270.0,8882.91955652306,11
178,6894.0,8516.032096390421,11
179,6075.0,7706.1446362577835,11
180,11609.0,13249.257176125146,11
181,8220.0,9869.369715992507,11
182,9178.0,10836.48225585987,10
183,7194.0,8861.594795727231,10
184,6481.0,8157.707335594593,10
185,4917.0,6602.819875461955,10
186,6610.0,8304.932415329316,10
187,8109.0,9813.04495519668,10
188,5577.0,7290.157495064041,10
189,7253.0,8975.270034931404,10
190,6477.0,8208.382574798765,10
191,10884.0,12624.495114666126,10
192,6253.0,8002.607654533489,10
193,10288.0,12046.72019440085,10
194,9827.0,11594.832734268213,10
195,7346.0,9122.945274135574,10
196,6948.0,8734.057814002936,10
197,5830.0,7625.170353870299,10
198,5889.0,7693.28289373766,10
199,11399.0,13212.395433605023,10
