K,epidemic peak,cost fun,delta fun
77.5,712.8,1120.265825446898,2
78.0,712.8,1122.8946372239748,2
78.5,692.0,1104.7234490010514,2
79.0,745.6,1160.9522607781282,2
79.5,706.4,1124.381072555205,2
80.0,724.8,1145.4098843322818,2
80.5,717.4,1140.6386961093585,2
81.0,706.4,1132.2675078864354,2
81.5,693.6,1122.096319663512,2
82.0,690.8,1121.9251314405888,2
82.5,727.6,1161.3539432176656,2
83.0,708.4,1144.7827549947424,2
83.5,725.8,1164.8115667718191,2
84.0,692.8,1134.4403785488958,2
84.5,725.6,1169.8691903259728,2
85.0,689.6,1136.4980021030494,2
85.5,708.6,1158.126813880126,2
86.0,734.4,1186.5556256572029,2
86.5,689.8,1144.5844374342796,2
87.0,705.4,1162.8132492113564,2
87.5,694.2,1154.2420609884332,2
88.0,692.0,1154.67087276551,2
88.5,753.0,1218.2996845425869,2
89.0,699.0,1166.9284963196635,2
89.5,697.6,1168.1573080967403,2
90.0,714.8,1187.986119873817,2
90.5,700.4,1176.2149316508937,2
91.0,727.2,1205.6437434279705,2
91.5,698.4,1179.4725552050472,2
92.0,694.0,1177.701366982124,2
92.5,718.4,1204.730178759201,2
93.0,715.0,1203.9589905362777,2
93.5,704.6,1196.1878023133545,2
94.0,689.4,1183.616614090431,2
94.5,724.0,1220.8454258675079,2
95.0,721.2,1220.6742376445848,2
95.5,738.6,1240.7030494216615,2
96.0,725.8,1230.5318611987382,2
96.5,708.4,1215.760672975815,2
97.0,723.2,1233.1894847528918,2
97.5,686.2,1198.8182965299684,2
98.0,714.2,1229.4471083070453,2
98.5,715.8,1233.675920084122,2
99.0,690.6,1211.1047318611986,2
99.5,719.2,1242.3335436382754,2
100.0,700.6,1226.3623554153523,2
100.5,663.4,1191.791167192429,1
101.0,661.0,1192.0199789695057,1
101.5,689.0,1222.6487907465826,1
102.0,680.0,1216.2776025236594,1
102.5,691.0,1229.906414300736,1
103.0,709.8,1251.3352260778129,1
103.5,661.8,1205.9640378548895,1
104.0,725.8,1272.5928496319661,1
104.5,693.8,1243.221661409043,1
105.0,679.8,1231.8504731861199,1
105.5,675.8,1230.4792849631967,1
106.0,678.2,1235.5080967402735,1
106.5,717.8,1277.73690851735,1
107.0,721.4,1283.9657202944268,1
107.5,677.8,1242.9945320715037,1
108.0,705.4,1273.2233438485805,1
108.5,691.2,1261.652155625657,1
109.0,649.0,1222.0809674027341,1
109.5,685.6,1261.309779179811,1
110.0,672.4,1250.7385909568875,1
