K,epidemic peak,cost fun,delta fun
200,11180.0,13002.507973472384,10
210,11457.0,13370.633372146003,9
220,6306.0,8310.758770819622,9
230,7886.0,9981.884169493242,8
240,6813.0,9000.00956816686,8
250,5870.0,8148.13496684048,8
260,9785.0,12154.2603655141,7
270,11494.0,13954.385764187718,7
280,10014.0,12565.511162861338,7
290,9112.0,11754.636561534957,6
300,4901.0,7634.761960208576,6
310,6775.0,9599.887358882195,6
320,8628.0,11544.012757555814,6
330,6980.0,9987.138156229434,6
340,5521.0,8619.263554903053,5
350,7173.0,10362.388953576672,5
360,5065.0,8345.514352250291,5
370,9496.0,12867.63975092391,5
380,7123.0,10585.76514959753,5
390,4098.0,7651.890548271149,5
400,8898.0,12543.015946944768,5
410,10384.0,14120.141345618387,4
420,11589.0,15416.266744292006,4
430,4090.0,8008.392142965626,4
440,5607.0,9616.517541639245,4
450,7272.0,11372.642940312864,4
460,7269.0,11460.768338986483,4
470,5047.0,9329.893737660102,4
480,7332.0,11706.019136333722,4
490,4672.0,9137.14453500734,4
500,5973.0,10529.26993368096,4
510,7697.0,12344.39533235458,3
520,8185.0,12923.520731028198,3
530,5053.0,9882.646129701818,3
540,10487.0,15407.771528375437,3
550,6595.0,11606.896927049056,3
560,8296.0,13399.022325722675,3
570,5923.0,11117.147724396295,3
580,10175.0,15460.273123069914,3
590,5733.0,11109.398521743533,3
600,6787.0,12254.523920417152,3
610,9124.0,14682.649319090771,3
620,9731.0,15380.77471776439,3
630,10687.0,16427.90011643801,3
640,5893.0,11725.025515111629,3
650,5422.0,11345.150913785248,3
660,10855.0,16869.276312458867,3
670,10096.0,16201.401711132487,2
680,4102.0,10298.527109806106,2
690,6526.0,12813.652508479725,2
700,5647.0,12025.777907153344,2
710,3620.0,10089.903305826963,2
720,6671.0,13232.028704500583,2
730,5334.0,11986.154103174202,2
740,8427.0,15170.279501847821,2
750,9931.0,16765.40490052144,2
760,4414.0,11339.53029919506,2
770,4739.0,11755.655697868679,2
780,4007.0,11114.781096542298,2
790,8816.0,16014.906495215917,2
800,5185.0,12475.031893889536,2
810,11006.0,18387.157292563155,2
820,9743.0,17215.282691236775,2
830,9352.0,16915.408089910394,2
840,7491.0,15145.533488584013,2
850,4224.0,11969.658887257632,2
860,5154.0,12990.784285931251,2
870,10347.0,18274.90968460487,2
880,6756.0,14775.03508327849,2
890,9845.0,17955.16048195211,2
900,7866.0,16067.285880625728,2
910,6900.0,15192.411279299347,2
920,3672.0,12055.536677972967,2
930,6012.0,14486.662076646586,2
940,5799.0,14364.787475320205,2
950,5313.0,13969.912873993824,2
960,5038.0,13786.038272667443,2
970,7145.0,15984.163671341063,2
980,8388.0,17318.28907001468,2
990,8275.0,17296.4144686883,2
1000,6999.0,16111.53986736192,2
1010,4874.0,14077.66526603554,1
1020,5889.0,15183.790664709159,1
1030,10601.0,19986.916063382778,1
1040,10624.0,20101.041462056397,1
1050,7491.0,17059.166860730016,1
1060,10870.0,20529.292259403635,1
1070,5732.0,15482.417658077255,1
1080,8058.0,17899.543056750874,1
1090,8661.0,18593.668455424493,1
1100,8628.0,18651.793854098112,1
1110,4989.0,15103.919252771731,1
1120,7011.0,17217.04465144535,1
1130,5333.0,15630.17005011897,1
1140,4767.0,15155.295448792589,1
1150,9196.0,19675.42084746621,1
1160,7740.0,18310.546246139827,1
1170,4584.0,15245.671644813447,1
1180,5600.0,16352.797043487066,1
1190,10339.0,21182.922442160685,1
1200,5647.0,16582.047840834304,1
1210,5992.0,17018.173239507923,1
1220,9591.0,20708.298638181543,1
1230,10270.0,21478.424036855162,1
1240,10779.0,22078.54943552878,1
1250,11012.0,22402.6748342024,1
1260,6321.0,17802.80023287602,1
1270,6970.0,18542.92563154964,1
1280,9014.0,20678.051030223258,1
1290,3943.0,15698.176428896877,1
1300,9995.0,21841.301827570496,1
1310,4602.0,16539.427226244115,1
1320,8259.0,20287.552624917735,1
1330,7872.0,19991.678023591354,1
1340,8658.0,20868.803422264973,1
1350,9207.0,21508.928820938592,1
1360,5950.0,18343.05421961221,1
1370,5525.0,18009.17961828583,1
1380,5970.0,18545.30501695945,1
1390,11017.0,23683.43041563307,1
1400,4507.0,17264.55581430669,1
1410,8302.0,21150.681212980307,1
1420,7626.0,20565.806611653927,1
1430,7836.0,20866.932010327546,1
1440,10672.0,23794.057409001165,1
1450,8221.0,21434.182807674784,1
1460,9585.0,22889.308206348403,1
1470,7447.0,20842.433605022023,1
1480,9218.0,22704.559003695642,1
1490,6091.0,19668.68440236926,1
1500,9758.0,23426.80980104288,1
1510,9495.0,23254.9351997165,1
1520,7005.0,20856.06059839012,1
1530,9811.0,23753.185997063738,1
1540,5233.0,19266.311395737357,1
1550,8986.0,23110.436794410976,1
1560,4013.0,18228.562193084595,1
1570,10252.0,24558.687591758215,1
1580,10732.0,25129.812990431834,1
1590,5122.0,19610.938389105453,1
