K,epidemic peak,cost fun,delta fun
40,13698.0,14062.501594694477,50
41,13485.0,13858.614134561838,48
42,15103.0,15485.726674429201,47
43,13927.0,14318.839214296562,46
44,12636.0,13036.951754163925,45
45,11831.0,12241.064294031286,44
46,10186.0,10605.176833898648,43
47,12139.0,12567.28937376601,42
48,10597.0,11034.401913633372,41
49,10488.0,10934.514453500735,40
50,11271.0,11726.626993368096,40
51,14576.0,15040.739533235457,39
52,11207.0,11680.85207310282,38
53,11998.0,12480.964612970181,37
54,11107.0,11599.077152837544,37
55,10585.0,11086.189692704906,36
56,13180.0,13690.302232572267,35
57,12433.0,12952.41477243963,35
58,9281.0,9809.527312306991,34
59,10547.0,11084.639852174354,33
60,10322.0,10868.752392041715,33
61,12932.0,13487.864931909076,32
62,11513.0,12077.97747177644,32
63,12719.0,13293.0900116438,31
64,8790.0,9373.202551511164,31
65,10502.0,11094.315091378525,30
66,9707.0,10308.427631245886,30
67,10359.0,10969.540171113249,29
68,10419.0,11038.65271098061,29
69,12183.0,12811.765250847973,28
70,8058.0,8695.877790715334,28
71,9844.0,10490.990330582696,28
72,8155.0,8811.102870450059,27
73,8848.0,9513.21541031742,27
74,12010.0,12684.327950184783,27
75,8981.0,9664.440490052144,26
76,11916.0,12608.553029919505,26
77,9454.0,10155.665569786868,25
78,8968.0,9678.77810965423,25
79,9175.0,9894.890649521592,25
80,10005.0,10734.003189388954,25
81,8257.0,8995.115729256315,24
82,11788.0,12535.228269123678,24
83,12107.0,12863.340808991039,24
84,9121.0,9886.453348858402,23
85,11305.0,12079.565888725763,23
86,10567.0,11350.678428593124,23
87,12633.0,13425.790968460487,22
88,8404.0,9205.903508327849,22
89,12140.0,12951.016048195212,22
90,7408.0,8228.128588062573,22
91,8681.0,9510.241127929934,21
92,9082.0,9920.353667797297,21
93,6673.0,7520.466207664658,21
94,8030.0,8886.578747532021,21
95,9695.0,10560.691287399382,21
96,9164.0,10038.803827266744,20
97,12439.0,13322.916367134107,20
98,12492.0,13385.028907001468,20
99,12299.0,13201.14144686883,20
100,9441.0,10352.253986736192,20
101,8422.0,9342.366526603553,19
102,12383.0,13312.479066470916,19
103,11831.0,12769.591606338277,19
104,12302.0,13249.70414620564,19
105,10767.0,11723.816686073002,19
106,6076.0,7041.929225940364,18
107,12675.0,13650.041765807726,18
108,7863.0,8847.154305675087,18
109,12656.0,13649.26684554245,18
110,8189.0,9191.379385409811,18
111,7595.0,8606.491925277172,18
112,7627.0,8647.604465144535,17
113,7563.0,8592.717005011897,17
114,8431.0,9469.82954487926,17
115,11302.0,12349.94208474662,17
116,10798.0,11855.054624613982,17
117,5620.0,6686.167164481345,17
118,10511.0,11586.279704348706,16
119,8883.0,9967.39224421607,16
120,10132.0,11225.50478408343,16
121,10627.0,11729.617323950792,16
122,9593.0,10704.729863818155,16
123,9136.0,10256.842403685516,16
124,11712.0,12841.954943552879,16
125,11530.0,12669.06748342024,16
126,6472.0,7620.180023287602,15
127,7560.0,8717.292563154964,15
128,9728.0,10894.405103022325,15
129,12498.0,13673.517642889688,15
130,7943.0,9127.63018275705,15
131,7100.0,8293.74272262441,15
132,7957.0,9159.855262491774,15
133,7060.0,8271.967802359135,15
134,7547.0,8768.080342226498,14
135,9075.0,10305.19288209386,14
136,7197.0,8436.30542196122,14
137,5096.0,6344.417961828583,14
138,8717.0,9974.530501695945,14
139,10511.0,11777.643041563308,14
140,5793.0,7068.755581430669,14
141,11348.0,12632.86812129803,14
142,8495.0,9788.980661165393,14
143,9521.0,10824.093201032754,13
144,6027.0,7339.205740900116,13
145,6991.0,8312.318280767478,13
146,6509.0,7839.4308206348405,13
147,11113.0,12452.543360502203,13
148,11270.0,12618.655900369564,13
149,9351.0,10708.768440236927,13
150,9736.0,11102.880980104288,13
151,7243.0,8618.99351997165,13
152,6262.0,7647.106059839012,13
153,7659.0,9053.218599706373,13
154,10188.0,11591.331139573736,12
155,9794.0,11206.443679441098,12
156,5742.0,7163.55621930846,12
157,7629.0,9059.668759175822,12
158,5886.0,7325.781299043183,12
159,6780.0,8228.893838910546,12
