proba is,proba sr,nombre hpb,nombre shp,pic,cumul inf,nb changements sr,nb changements is
0.1,0.01,1,0,197.0,175311.0,195.0,15767.333333333334
0.1,0.01,1,1,198.66666666666666,167193.33333333334,192.0,15211.0
0.1,0.01,1,2,197.0,160447.0,189.0,14655.0
0.1,0.01,1,3,195.66666666666666,149220.0,190.66666666666666,13504.666666666666
0.1,0.01,1,4,198.0,157042.66666666666,185.0,14305.666666666666
0.1,0.01,2,0,198.0,156840.0,191.33333333333334,14298.666666666666
0.1,0.01,2,1,196.0,161183.33333333334,191.33333333333334,14716.333333333334
0.1,0.01,2,2,194.66666666666666,152756.66666666666,187.0,13838.666666666666
0.1,0.01,2,3,197.33333333333334,157677.66666666666,186.0,14325.0
0.1,0.01,2,4,194.66666666666666,135909.33333333334,188.0,12243.333333333334
0.1,0.01,3,0,198.0,158993.33333333334,188.33333333333334,14458.333333333334
0.1,0.01,3,1,195.66666666666666,160143.0,185.33333333333334,14452.0
0.1,0.01,3,2,197.0,149885.66666666666,183.66666666666666,13586.333333333334
0.1,0.01,3,3,198.66666666666666,146016.66666666666,186.66666666666666,13276.666666666666
0.1,0.01,3,4,196.66666666666666,151424.0,187.66666666666666,13695.666666666666
0.1,0.01,4,0,195.66666666666666,150190.33333333334,188.33333333333334,13653.666666666666
0.1,0.01,4,1,197.0,147858.0,187.33333333333334,13440.666666666666
0.1,0.01,4,2,197.33333333333334,152093.0,186.0,13776.0
0.1,0.01,4,3,197.66666666666666,147828.33333333334,185.0,13404.333333333334
0.1,0.01,4,4,197.66666666666666,148467.0,183.66666666666666,13423.0
0.1,0.01,5,0,196.33333333333334,152709.0,185.33333333333334,13823.0
0.1,0.01,5,1,197.66666666666666,141500.66666666666,182.66666666666666,12903.333333333334
0.1,0.01,5,2,196.0,150936.0,182.0,13716.666666666666
0.1,0.01,5,3,197.33333333333334,143077.33333333334,185.66666666666666,12944.666666666666
0.1,0.01,5,4,197.0,143757.33333333334,182.66666666666666,13005.666666666666
0.1,0.015,1,0,195.33333333333334,118513.0,194.66666666666666,10725.333333333334
0.1,0.015,1,1,197.0,109306.66666666667,193.0,9878.333333333334
0.1,0.015,1,2,196.66666666666666,103110.0,191.0,9380.333333333334
0.1,0.015,1,3,194.66666666666666,99279.0,190.33333333333334,8901.0
0.1,0.015,1,4,195.33333333333334,103956.0,186.33333333333334,9502.0
0.1,0.015,2,0,196.33333333333334,103374.33333333333,189.66666666666666,9365.666666666666
0.1,0.015,2,1,195.66666666666666,98189.0,189.33333333333334,8915.0
0.1,0.015,2,2,195.66666666666666,107128.0,186.66666666666666,9720.0
0.1,0.015,2,3,196.66666666666666,100643.33333333333,188.33333333333334,9141.0
0.1,0.015,2,4,196.33333333333334,94905.0,189.33333333333334,8590.333333333334
0.1,0.015,3,0,193.0,104521.33333333333,190.66666666666666,9565.666666666666
0.1,0.015,3,1,193.66666666666666,104514.33333333333,190.0,9478.666666666666
0.1,0.015,3,2,194.66666666666666,96067.0,187.0,8711.333333333334
0.1,0.015,3,3,197.33333333333334,103310.33333333333,185.66666666666666,9269.0
0.1,0.015,3,4,195.66666666666666,100032.66666666667,188.0,9009.666666666666
0.1,0.015,4,0,196.0,106035.0,190.0,9728.333333333334
0.1,0.015,4,1,194.0,100068.33333333333,187.0,9029.0
0.1,0.015,4,2,194.33333333333334,97809.66666666667,184.0,8793.0
0.1,0.015,4,3,195.0,92384.66666666667,185.0,8418.0
0.1,0.015,4,4,196.66666666666666,95655.0,184.0,8632.0
0.1,0.015,5,0,195.33333333333334,97413.66666666667,188.66666666666666,8778.666666666666
0.1,0.015,5,1,196.0,107239.33333333333,189.66666666666666,9671.0
0.1,0.015,5,2,195.33333333333334,98844.0,184.0,8971.333333333334
0.1,0.015,5,3,194.66666666666666,103718.0,185.66666666666666,9431.333333333334
0.1,0.015,5,4,195.66666666666666,92935.66666666667,184.0,8396.0
0.1,0.02,1,0,193.66666666666666,79720.0,194.33333333333334,7224.666666666667
0.1,0.02,1,1,192.66666666666666,83919.0,192.66666666666666,7618.333333333333
0.1,0.02,1,2,195.33333333333334,85631.33333333333,192.33333333333334,7760.666666666667
0.1,0.02,1,3,194.33333333333334,81477.33333333333,189.0,7402.333333333333
0.1,0.02,1,4,196.0,75122.66666666667,186.33333333333334,6766.333333333333
0.1,0.02,2,0,192.0,78690.33333333333,192.33333333333334,7206.666666666667
0.1,0.02,2,1,193.66666666666666,79836.0,190.0,7174.666666666667
0.1,0.02,2,2,194.33333333333334,81709.66666666667,188.66666666666666,7493.0
0.1,0.02,2,3,195.66666666666666,80467.0,189.0,7294.0
0.1,0.02,2,4,191.33333333333334,72412.66666666667,186.33333333333334,6575.0
0.1,0.02,3,0,191.33333333333334,77525.66666666667,190.66666666666666,7005.666666666667
0.1,0.02,3,1,191.0,73550.33333333333,187.66666666666666,6682.333333333333
